run_id,final_value,roi,short_window,long_window
0,100.04049188005368,0.0404918800536791,5,25
1,99.56509072433796,-0.4349092756620365,5,30
2,90.89141027261141,-9.10858972738859,5,40
3,92.41063184930974,-7.589368150690262,5,50
4,91.38446192412512,-8.61553807587488,5,60
5,97.06117841498875,-2.9388215850112545,10,25
6,95.18475890293263,-4.815241097067371,10,30
7,88.51052592271284,-11.489474077287156,10,40
8,90.75219481317626,-9.24780518682374,10,50
9,90.10326544724651,-9.896734552753486,10,60
10,90.08355866887386,-9.916441331126137,15,25
11,91.54226585816193,-8.457734141838074,15,30
12,85.42313930893718,-14.576860691062821,15,40
13,89.97575334078677,-10.024246659213233,15,50
14,91.74480552532503,-8.255194474674965,15,60
15,91.28426670451154,-8.715733295488462,20,25
16,90.05828570735757,-9.94171429264243,20,30
17,83.78619831552889,-16.213801684471107,20,40
18,95.41696042243483,-4.583039577565174,20,50
19,92.24524829771387,-7.754751702286128,20,60
